INFO  - 2014-10-22 15:31:02.332; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={q=*:*&facet.field=userRating&json.wrf=jQuery21108656804461497813_1413984662234&json.nl=map&sort=userRating+desc&facet.mincount=1&rows=20&facet=true&wt=json&_=1413984662235} hits=139942 status=0 QTime=3 
INFO  - 2014-10-22 15:31:02.371; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={q=*:*&facet.limit=20&json.wrf=jQuery21108656804461497813_1413984662236&json.nl=map&facet.mincount=1&rows=10&facet=true&wt=json&_=1413984662237} hits=139942 status=0 QTime=1 
INFO  - 2014-10-22 15:31:02.849; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={facet.limit=300&q=*:*&facet.field=titleStop&facet.field=ingredientname&json.wrf=jQuery21108656804461497813_1413984662236&json.nl=map&facet.mincount=1&rows=0&facet=true&wt=json&_=1413984662238} hits=139942 status=0 QTime=19 
INFO  - 2014-10-22 15:31:06.406; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={json.wrf=jQuery21108656804461497813_1413984662236&wt=json&_=1413984662239} hits=0 status=0 QTime=0 
INFO  - 2014-10-22 15:31:06.415; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={json.wrf=jQuery21108656804461497813_1413984662234&wt=json&_=1413984662240} hits=0 status=0 QTime=0 
INFO  - 2014-10-22 15:31:06.489; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={facet.limit=2000&q=null&facet.field=ingredientname&json.wrf=jQuery21108656804461497813_1413984662236&json.nl=map&facet.mincount=1&rows=0&facet=true&wt=json&_=1413984662241} hits=11 status=0 QTime=8 
INFO  - 2014-10-22 15:31:06.497; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={facet.limit=2000&q=null&facet.field=ingredientname&json.wrf=jQuery21108656804461497813_1413984662234&json.nl=map&facet.mincount=1&rows=0&facet=true&wt=json&_=1413984662242} hits=11 status=0 QTime=6 
INFO  - 2014-10-22 15:31:09.577; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={json.wrf=jQuery21108656804461497813_1413984662234&fq=ingredientname:eis&wt=json&_=1413984662243} hits=0 status=0 QTime=0 
INFO  - 2014-10-22 15:31:09.634; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={facet.limit=2000&q=null&facet.field=ingredientname&json.wrf=jQuery21108656804461497813_1413984662234&json.nl=map&facet.mincount=1&fq=ingredientname:eis&rows=0&facet=true&wt=json&_=1413984662244} hits=3 status=0 QTime=3 
INFO  - 2014-10-22 15:32:00.229; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={q=*:*&facet.limit=20&json.wrf=jQuery21108558502660598606_1413984719928&json.nl=map&facet.mincount=1&rows=10&facet=true&wt=json&_=1413984719929} hits=139942 status=0 QTime=0 
INFO  - 2014-10-22 15:32:00.233; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={q=*:*&facet.field=userRating&json.wrf=jQuery21108558502660598606_1413984719926&json.nl=map&sort=userRating+desc&facet.mincount=1&rows=20&facet=true&wt=json&_=1413984719927} hits=139942 status=0 QTime=4 
INFO  - 2014-10-22 15:32:00.385; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={facet.limit=300&q=*:*&facet.field=titleStop&facet.field=ingredientname&json.wrf=jQuery21108558502660598606_1413984719928&json.nl=map&facet.mincount=1&rows=0&facet=true&wt=json&_=1413984719930} hits=139942 status=0 QTime=27 
INFO  - 2014-10-22 15:32:02.936; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={json.wrf=jQuery21108558502660598606_1413984719928&wt=json&_=1413984719931} hits=0 status=0 QTime=0 
INFO  - 2014-10-22 15:32:02.938; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={json.wrf=jQuery21108558502660598606_1413984719926&wt=json&_=1413984719932} hits=0 status=0 QTime=0 
INFO  - 2014-10-22 15:32:02.993; org.apache.solr.core.SolrCore; [recipeCollection] webapp=/solr path=/select params={facet.limit=2000&q=null&facet.field=ingredientname&json.wrf=jQuery21108558502660598606_1413984719928&json.nl=map&facet.mincount=1&rows=0&facet=true&wt=json&_=1413984719933} hits=11 status=0 QTime=5 
